DATE,PRCP,TAVG
2010-01-01,0.0,0.8
2010-01-02,0.0,1.8
2010-01-03,0.0,0.4
2010-01-04,0.0,-2.8
2010-01-05,0.3,-1.3
2010-01-06,1.5,-0.1
2010-01-07,3.0,-2.3
2010-01-08,1.0,-1.4
2010-01-09,0.3,-1.2
2010-01-10,0.0,1.4
2010-01-11,1.5,0.7
2010-01-12,1.5,1.2
2010-01-13,0.0,0.6
2010-01-14,3.6,2.2
2010-01-15,5.1,3.7
2010-01-16,0.5,6.0
2010-01-17,10.2,5.1
2010-01-18,0.5,4.7
2010-01-19,0.0,6.5
2010-01-20,0.0,3.4
2010-01-21,4.8,4.0
2010-01-22,0.8,7.4
2010-01-23,5.3,5.9
2010-01-24,0.0,4.3
2010-01-25,1.5,3.6
2010-01-26,1.5,1.3
2010-01-27,0.0,1.9
2010-01-28,0.5,5.5
2010-01-29,6.6,3.7
2010-01-30,2.3,0.5
2010-01-31,0.0,0.2
2010-02-01,0.0,1.5
2010-02-02,0.5,5.8
2010-02-03,1.3,4.6
2010-02-04,0.5,7.6
2010-02-05,4.3,7.2
2010-02-06,0.5,5.1
2010-02-07,0.0,4.1
2010-02-08,0.5,1.7
2010-02-09,0.5,2.2
2010-02-10,0.3,1.6
2010-02-11,0.0,1.3
2010-02-12,0.5,2.9
2010-02-13,0.5,2.4
2010-02-14,0.0,3.0
2010-02-15,0.3,1.8
2010-02-16,0.5,4.1
2010-02-17,24.6,4.1
2010-02-18,0.0,3.0
2010-02-19,8.9,2.5
2010-02-20,0.3,1.2
2010-02-21,0.3,3.3
2010-02-22,9.1,3.3
2010-02-23,7.1,3.1
2010-02-24,3.3,7.4
2010-02-25,4.8,7.7
2010-02-26,6.9,6.2
2010-02-27,0.5,7.4
2010-02-28,13.5,5.6
2010-03-01,11.4,4.7
2010-03-02,0.3,4.9
2010-03-03,0.0,4.0
2010-03-04,0.0,3.9
2010-03-05,0.0,3.1
2010-03-06,0.0,4.1
2010-03-07,0.0,0.9
2010-03-08,0.0,2.5
2010-03-09,0.0,5.1
2010-03-10,0.0,4.1
2010-03-11,0.0,4.2
2010-03-12,0.0,5.3
2010-03-13,2.3,6.5
2010-03-14,0.0,8.4
2010-03-15,0.0,7.8
2010-03-16,0.0,7.1
2010-03-17,0.0,8.8
2010-03-18,0.0,10.8
2010-03-19,1.3,10.7
2010-03-20,5.1,11.8
2010-03-21,4.3,9.1
2010-03-22,0.0,8.6
2010-03-23,1.0,7.6
2010-03-24,1.3,11.9
2010-03-25,5.1,11.4
2010-03-26,4.3,9.7
2010-03-27,0.8,9.7
2010-03-28,0.0,9.0
2010-03-29,3.8,10.0
2010-03-30,3.8,8.4
2010-03-31,6.1,4.9
2010-04-01,1.3,5.6
2010-04-02,3.3,7.4
2010-04-03,9.1,7.7
2010-04-04,1.5,7.8
2010-04-05,0.5,8.9
2010-04-06,0.0,11.6
2010-04-07,0.0,9.7
2010-04-08,0.5,10.7
2010-04-09,0.0,12.4
2010-04-10,0.0,11.9
2010-04-11,0.0,9.4
2010-04-12,0.0,9.4
2010-04-13,0.0,9.3
2010-04-14,0.0,8.7
2010-04-15,0.0,8.7
2010-04-16,0.0,8.8
2010-04-17,0.0,9.8
2010-04-18,0.0,11.3
2010-04-19,0.0,11.6
2010-04-20,0.0,9.8
2010-04-21,0.0,7.9
2010-04-22,0.0,9.0
2010-04-23,0.0,10.8
2010-04-24,0.0,13.1
2010-04-25,0.0,13.3
2010-04-26,1.5,12.8
2010-04-27,0.0,14.2
2010-04-28,0.0,14.9
2010-04-29,0.0,14.1
2010-04-30,4.1,11.7
2010-05-01,2.8,12.1
2010-05-02,0.5,8.4
2010-05-03,9.4,7.8
2010-05-04,0.5,7.7
2010-05-05,0.0,10.2
2010-05-06,0.0,11.1
2010-05-07,0.0,9.1
2010-05-08,0.3,8.2
2010-05-09,0.8,8.9
2010-05-10,0.5,9.1
2010-05-11,0.0,7.3
2010-05-12,0.0,7.3
2010-05-13,0.0,8.6
2010-05-14,0.0,10.2
2010-05-15,0.0,12.3
2010-05-16,0.0,11.1
2010-05-17,3.8,12.5
2010-05-18,0.0,13.4
2010-05-19,0.0,14.9
